Name,Count,Rank,Percent,Overall_Rank,Total_Count
WILLIAMS,716704,1,46.7,3,1534042
JOHNSON,627720,2,33.8,2,1857160
SMITH,527993,3,22.2,1,2376206
JONES,514167,4,37.7,5,1362755
BROWN,476702,5,34.5,4,1380145
JACKSON,353179,6,53,18,666125
DAVIS,329957,7,30.8,7,1072335
THOMAS,271273,8,38.2,14,710696
HARRIS,247092,9,41.6,24,593542
ROBINSON,221835,10,44.1,27,503028
TAYLOR,199326,11,27.7,13,720370
WILSON,198269,12,25.3,10,783051
MOORE,188082,13,26.9,16,698671
WHITE,175099,14,27.4,20,639515
LEWIS,172509,15,33.8,26,509930
WALKER,171297,16,34.2,28,501307
GREEN,149803,17,36.2,37,413477
WASHINGTON,146520,18,89.9,138,163036
THOMPSON,145176,19,22.5,19,644368
ANDERSON,137688,20,18.1,12,762394
SCOTT,135521,21,32.3,36,420091
CARTER,126856,22,35,46,362548
WRIGHT,120484,23,27.4,34,440367
MILLER,117404,24,10.4,6,1127803
HILL,117025,25,28.4,41,411770
ALLEN,116491,26,25.1,32,463368
MITCHELL,115815,27,31.5,44,367433
YOUNG,110849,28,23.8,31,465948
LEE,105480,29,17.4,22,605860
MARTIN,102925,30,15.3,17,672711
CLARK,101613,31,18.5,25,548369
TURNER,98383,32,29.3,49,335663
HALL,98265,33,20.7,30,473568
KING,96665,34,22,35,438986
EDWARDS,95787,35,30.2,53,317070
COLEMAN,91440,36,43.8,102,208624
JAMES,88835,37,38.1,80,233224
EVANS,85730,38,25,48,342237
BELL,84138,39,31.8,67,264752
RICHARDSON,81772,40,32.8,74,249533
ADAMS,79313,41,19.2,39,413086
BROOKS,78653,42,32.7,77,240751
PARKER,78111,43,24.1,51,324246
JENKINS,76881,44,36,95,213737
STEWART,74564,45,23.8,54,312899
HOWARD,73096,46,28.7,70,254779
CAMPBELL,71155,47,19.1,43,371953
SIMMONS,71102,48,35.3,103,201650
SANDERS,70468,49,31.9,88,220902
HENDERSON,69751,50,33.2,101,210094
COLLINS,68973,51,21.7,52,317848
COOPER,68227,52,25.3,64,270097
WATSON,65093,53,26.9,76,242432
BUTLER,65056,54,30.8,98,210879
ALEXANDER,64262,55,33.2,111,193443
BRYANT,63728,56,34.7,120,183761
NELSON,61547,57,14.9,40,412236
MORRIS,60137,58,19.3,56,311754
BARNES,59403,59,28.2,99,210426
JORDAN,59282,60,30.1,105,197212
REED,58757,61,22,65,267443
WOODS,58511,62,34.7,133,168814
DIXON,58085,63,38.2,156,152015
ROBERTS,58082,64,15.9,45,366215
GRAY,57663,65,24.4,79,236713
PHILLIPS,57562,66,16.4,47,351848
GRIFFIN,56752,67,29.8,114,190636
BAKER,56340,68,13.6,38,413351
POWELL,56239,69,26,91,216553
BAILEY,56215,70,21.1,66,265916
FORD,56017,71,31.4,124,178397
HOLMES,54841,72,36.5,161,150166
BANKS,53857,73,54.2,278,99294
DANIELS,52499,74,37.8,180,138776
ROSS,52065,75,23.7,89,219961
ROGERS,51992,76,17.7,61,294403
PERRY,51821,77,24.4,97,212644
FOSTER,51259,78,23.2,87,221040
PATTERSON,50950,79,25.7,104,198557
HUNTER,49874,80,32.3,153,154410
OWENS,49127,81,27.9,126,176334
GRANT,49030,82,36.6,192,134034
MARSHALL,46696,83,26.4,125,177213
HENRY,46416,84,28.8,142,161392
MORGAN,45523,85,16.5,62,276400
PRICE,45271,86,19.8,84,228756
WALLACE,45267,87,23.7,113,190760
WARD,45157,88,17.8,71,254121
HAYES,45087,89,24,117,187473
BOYD,44753,90,29.9,164,149476
FREEMAN,44690,91,27.5,140,162686
GRAHAM,44094,92,22.7,108,194074
HAMILTON,44016,93,22.7,107,194331
FRANKLIN,43394,94,37.8,236,114859
HAWKINS,42995,95,32.1,191,134066
GORDON,42173,96,27.2,151,154934
SIMS,41975,97,39.1,254,107244
HARRISON,41717,98,23.8,128,175577
ELLIS,41117,99,22.6,121,181934
KELLY,40308,100,15.5,69,260385
HICKS,40156,101,26.1,155,153618
BENNETT,39468,102,16.5,78,239055
JOSEPH,39087,103,48.8,356,80030
