Name,Count,Rank,Percent,Overall_Rank,Total_Count
SMITH,2501922,1,1.006,1,2501922
JOHNSON,2014470,2,0.81,2,2014470
WILLIAMS,1738413,3,0.699,3,1738413
JONES,1544427,4,0.621,4,1544427
BROWN,1544427,5,0.621,5,1544427
DAVIS,1193760,6,0.48,6,1193760
MILLER,1054488,7,0.424,7,1054488
WILSON,843093,8,0.339,8,843093
MOORE,775944,9,0.312,9,775944
TAYLOR,773457,10,0.311,10,773457
ANDERSON,773457,11,0.311,11,773457
THOMAS,773457,12,0.311,12,773457
JACKSON,770970,13,0.31,13,770970
WHITE,693873,14,0.279,14,693873
HARRIS,683925,15,0.275,15,683925
MARTIN,678951,16,0.273,16,678951
THOMPSON,669003,17,0.269,17,669003
GARCIA,631698,18,0.254,18,631698
MARTINEZ,581958,19,0.234,19,581958
ROBINSON,579471,20,0.233,20,579471
CLARK,574497,21,0.231,21,574497
RODRIGUEZ,569523,22,0.229,22,569523
LEWIS,562062,23,0.226,23,562062
LEE,547140,24,0.22,24,547140
WALKER,544653,25,0.219,25,544653
HALL,497400,26,0.2,26,497400
ALLEN,494913,27,0.199,27,494913
YOUNG,479991,28,0.193,28,479991
HERNANDEZ,477504,29,0.192,29,477504
KING,472530,30,0.19,30,472530
WRIGHT,470043,31,0.189,31,470043
LOPEZ,465069,32,0.187,32,465069
HILL,465069,33,0.187,33,465069
SCOTT,460095,34,0.185,34,460095
GREEN,455121,35,0.183,35,455121
ADAMS,432738,36,0.174,36,432738
BAKER,425277,37,0.171,37,425277
GONZALEZ,412842,38,0.166,38,412842
NELSON,402894,39,0.162,39,402894
CARTER,402894,40,0.162,40,402894
MITCHELL,397920,41,0.16,41,397920
PEREZ,385485,42,0.155,42,385485
ROBERTS,380511,43,0.153,43,380511
TURNER,378024,44,0.152,44,378024
PHILLIPS,370563,45,0.149,45,370563
CAMPBELL,370563,46,0.149,46,370563
PARKER,363102,47,0.146,47,363102
EVANS,350667,48,0.141,48,350667
EDWARDS,340719,49,0.137,49,340719
COLLINS,333258,50,0.134,50,333258
STEWART,330771,51,0.133,51,330771
SANCHEZ,323310,52,0.13,52,323310
MORRIS,310875,53,0.125,53,310875
ROGERS,305901,54,0.123,54,305901
REED,303414,55,0.122,55,303414
COOK,298440,56,0.12,56,298440
MORGAN,293466,57,0.118,57,293466
BELL,290979,58,0.117,58,290979
MURPHY,290979,59,0.117,59,290979
BAILEY,286005,60,0.115,60,286005
RIVERA,281031,61,0.113,61,281031
COOPER,281031,62,0.113,62,281031
RICHARDSON,278544,63,0.112,63,278544
COX,273570,64,0.11,64,273570
HOWARD,273570,65,0.11,65,273570
WARD,268596,66,0.108,66,268596
TORRES,268596,67,0.108,67,268596
PETERSON,266109,68,0.107,68,266109
GRAY,263622,69,0.106,69,263622
RAMIREZ,261135,70,0.105,70,261135
JAMES,261135,71,0.105,71,261135
WATSON,256161,72,0.103,72,256161
BROOKS,256161,73,0.103,73,256161
KELLY,253674,74,0.102,74,253674
SANDERS,248700,75,0.1,75,248700
PRICE,246213,76,0.099,76,246213
BENNETT,246213,77,0.099,77,246213
WOOD,243726,78,0.098,78,243726
BARNES,241239,79,0.097,79,241239
ROSS,238752,80,0.096,80,238752
HENDERSON,236265,81,0.095,81,236265
COLEMAN,236265,82,0.095,82,236265
JENKINS,236265,83,0.095,83,236265
PERRY,233778,84,0.094,84,233778
POWELL,231291,85,0.093,85,231291
LONG,228804,86,0.092,86,228804
PATTERSON,228804,87,0.092,87,228804
HUGHES,228804,88,0.092,88,228804
FLORES,228804,89,0.092,89,228804
WASHINGTON,228804,90,0.092,90,228804
BUTLER,226317,91,0.091,91,226317
SIMMONS,226317,92,0.091,92,226317
FOSTER,226317,93,0.091,93,226317
GONZALES,216369,94,0.087,94,216369
BRYANT,216369,95,0.087,95,216369
ALEXANDER,211395,96,0.085,96,211395
RUSSELL,211395,97,0.085,97,211395
GRIFFIN,208908,98,0.084,98,208908
DIAZ,208908,99,0.084,99,208908
HAYES,206421,100,0.083,100,206421
MYERS,206421,101,0.083,101,206421
FORD,203934,102,0.082,102,203934
HAMILTON,203934,103,0.082,103,203934
GRAHAM,203934,104,0.082,104,203934
SULLIVAN,201447,105,0.081,105,201447
WALLACE,201447,106,0.081,106,201447
WOODS,198960,107,0.08,107,198960
COLE,198960,108,0.08,108,198960
WEST,198960,109,0.08,109,198960
JORDAN,193986,110,0.078,110,193986
OWENS,193986,111,0.078,111,193986
REYNOLDS,193986,112,0.078,112,193986
FISHER,191499,113,0.077,113,191499
ELLIS,191499,114,0.077,114,191499
HARRISON,189012,115,0.076,115,189012
GIBSON,186525,116,0.075,116,186525
MCDONALD,186525,117,0.075,117,186525
CRUZ,186525,118,0.075,118,186525
MARSHALL,186525,119,0.075,119,186525
ORTIZ,186525,120,0.075,120,186525
GOMEZ,186525,121,0.075,121,186525
MURRAY,184038,122,0.074,122,184038
FREEMAN,184038,123,0.074,123,184038
WELLS,181551,124,0.073,124,181551
WEBB,179064,125,0.072,125,179064
SIMPSON,174090,126,0.07,126,174090
STEVENS,174090,127,0.07,127,174090
TUCKER,174090,128,0.07,128,174090
PORTER,171603,129,0.069,129,171603
HUNTER,171603,130,0.069,130,171603
HICKS,171603,131,0.069,131,171603
CRAWFORD,169116,132,0.068,132,169116
HENRY,169116,133,0.068,133,169116
BOYD,169116,134,0.068,134,169116
MASON,169116,135,0.068,135,169116
MORALES,166629,136,0.067,136,166629
KENNEDY,166629,137,0.067,137,166629
WARREN,166629,138,0.067,138,166629
DIXON,164142,139,0.066,139,164142
RAMOS,164142,140,0.066,140,164142
REYES,164142,141,0.066,141,164142
BURNS,161655,142,0.065,142,161655
GORDON,161655,143,0.065,143,161655
SHAW,161655,144,0.065,144,161655
HOLMES,161655,145,0.065,145,161655
RICE,159168,146,0.064,146,159168
ROBERTSON,159168,147,0.064,147,159168
HUNT,156681,148,0.063,148,156681
BLACK,156681,149,0.063,149,156681
DANIELS,154194,150,0.062,150,154194
PALMER,154194,151,0.062,151,154194
MILLS,151707,152,0.061,152,151707
NICHOLS,149220,153,0.06,153,149220
GRANT,149220,154,0.06,154,149220
KNIGHT,149220,155,0.06,155,149220
FERGUSON,146733,156,0.059,156,146733
ROSE,146733,157,0.059,157,146733
STONE,146733,158,0.059,158,146733
HAWKINS,146733,159,0.059,159,146733
DUNN,144246,160,0.058,160,144246
PERKINS,144246,161,0.058,161,144246
HUDSON,144246,162,0.058,162,144246
SPENCER,141759,163,0.057,163,141759
GARDNER,141759,164,0.057,164,141759
STEPHENS,141759,165,0.057,165,141759
PAYNE,141759,166,0.057,166,141759
PIERCE,139272,167,0.056,167,139272
BERRY,139272,168,0.056,168,139272
MATTHEWS,139272,169,0.056,169,139272
ARNOLD,139272,170,0.056,170,139272
WAGNER,136785,171,0.055,171,136785
WILLIS,136785,172,0.055,172,136785
RAY,136785,173,0.055,173,136785
WATKINS,136785,174,0.055,174,136785
OLSON,136785,175,0.055,175,136785
CARROLL,136785,176,0.055,176,136785
DUNCAN,136785,177,0.055,177,136785
SNYDER,136785,178,0.055,178,136785
HART,134298,179,0.054,179,134298
CUNNINGHAM,134298,180,0.054,180,134298
BRADLEY,134298,181,0.054,181,134298
LANE,134298,182,0.054,182,134298
ANDREWS,134298,183,0.054,183,134298
RUIZ,134298,184,0.054,184,134298
HARPER,134298,185,0.054,185,134298
FOX,131811,186,0.053,186,131811
RILEY,131811,187,0.053,187,131811
ARMSTRONG,131811,188,0.053,188,131811
CARPENTER,131811,189,0.053,189,131811
WEAVER,131811,190,0.053,190,131811
GREENE,131811,191,0.053,191,131811
LAWRENCE,129324,192,0.052,192,129324
ELLIOTT,129324,193,0.052,193,129324
CHAVEZ,129324,194,0.052,194,129324
SIMS,129324,195,0.052,195,129324
AUSTIN,129324,196,0.052,196,129324
PETERS,129324,197,0.052,197,129324
KELLEY,129324,198,0.052,198,129324
FRANKLIN,126837,199,0.051,199,126837
LAWSON,126837,200,0.051,200,126837
FIELDS,126837,201,0.051,201,126837
GUTIERREZ,126837,202,0.051,202,126837
RYAN,126837,203,0.051,203,126837
SCHMIDT,126837,204,0.051,204,126837
CARR,126837,205,0.051,205,126837
VASQUEZ,126837,206,0.051,206,126837
CASTILLO,126837,207,0.051,207,126837
WHEELER,126837,208,0.051,208,126837
CHAPMAN,124350,209,0.05,209,124350
OLIVER,124350,210,0.05,210,124350
MONTGOMERY,121863,211,0.049,211,121863
RICHARDS,121863,212,0.049,212,121863
WILLIAMSON,121863,213,0.049,213,121863
JOHNSTON,121863,214,0.049,214,121863
BANKS,119376,215,0.048,215,119376
MEYER,119376,216,0.048,216,119376
BISHOP,119376,217,0.048,217,119376
MCCOY,119376,218,0.048,218,119376
HOWELL,119376,219,0.048,219,119376
ALVAREZ,119376,220,0.048,220,119376
MORRISON,119376,221,0.048,221,119376
HANSEN,116889,222,0.047,222,116889
FERNANDEZ,116889,223,0.047,223,116889
GARZA,116889,224,0.047,224,116889
HARVEY,116889,225,0.047,225,116889
LITTLE,114402,226,0.046,226,114402
BURTON,114402,227,0.046,227,114402
STANLEY,114402,228,0.046,228,114402
NGUYEN,114402,229,0.046,229,114402
GEORGE,114402,230,0.046,230,114402
JACOBS,114402,231,0.046,231,114402
REID,114402,232,0.046,232,114402
KIM,111915,233,0.045,233,111915
FULLER,111915,234,0.045,234,111915
LYNCH,111915,235,0.045,235,111915
DEAN,111915,236,0.045,236,111915
GILBERT,111915,237,0.045,237,111915
GARRETT,111915,238,0.045,238,111915
ROMERO,111915,239,0.045,239,111915
WELCH,109428,240,0.044,240,109428
LARSON,109428,241,0.044,241,109428
FRAZIER,109428,242,0.044,242,109428
BURKE,109428,243,0.044,243,109428
HANSON,106941,244,0.043,244,106941
DAY,106941,245,0.043,245,106941
MENDOZA,106941,246,0.043,246,106941
MORENO,106941,247,0.043,247,106941
BOWMAN,106941,248,0.043,248,106941
MEDINA,104454,249,0.042,249,104454
FOWLER,104454,250,0.042,250,104454
BREWER,104454,251,0.042,251,104454
HOFFMAN,104454,252,0.042,252,104454
CARLSON,104454,253,0.042,253,104454
SILVA,104454,254,0.042,254,104454
PEARSON,104454,255,0.042,255,104454
HOLLAND,104454,256,0.042,256,104454
DOUGLAS,101967,257,0.041,257,101967
FLEMING,101967,258,0.041,258,101967
JENSEN,101967,259,0.041,259,101967
VARGAS,101967,260,0.041,260,101967
BYRD,101967,261,0.041,261,101967
DAVIDSON,101967,262,0.041,262,101967
HOPKINS,101967,263,0.041,263,101967
MAY,99480,264,0.04,264,99480
TERRY,99480,265,0.04,265,99480
HERRERA,99480,266,0.04,266,99480
WADE,99480,267,0.04,267,99480
SOTO,99480,268,0.04,268,99480
WALTERS,99480,269,0.04,269,99480
CURTIS,99480,270,0.04,270,99480
NEAL,96993,271,0.039,271,96993
CALDWELL,96993,272,0.039,272,96993
LOWE,96993,273,0.039,273,96993
JENNINGS,96993,274,0.039,274,96993
BARNETT,96993,275,0.039,275,96993
GRAVES,96993,276,0.039,276,96993
JIMENEZ,96993,277,0.039,277,96993
HORTON,96993,278,0.039,278,96993
SHELTON,96993,279,0.039,279,96993
BARRETT,96993,280,0.039,280,96993
OBRIEN,96993,281,0.039,281,96993
CASTRO,96993,282,0.039,282,96993
SUTTON,94506,283,0.038,283,94506
GREGORY,94506,284,0.038,284,94506
MCKINNEY,94506,285,0.038,285,94506
LUCAS,94506,286,0.038,286,94506
MILES,94506,287,0.038,287,94506
CRAIG,94506,288,0.038,288,94506
RODRIQUEZ,92019,289,0.037,289,92019
CHAMBERS,92019,290,0.037,290,92019
HOLT,92019,291,0.037,291,92019
LAMBERT,92019,292,0.037,292,92019
FLETCHER,92019,293,0.037,293,92019
WATTS,92019,294,0.037,294,92019
BATES,92019,295,0.037,295,92019
HALE,92019,296,0.037,296,92019
RHODES,92019,297,0.037,297,92019
PENA,92019,298,0.037,298,92019
BECK,92019,299,0.037,299,92019
NEWMAN,89532,300,0.036,300,89532
HAYNES,89532,301,0.036,301,89532
MCDANIEL,89532,302,0.036,302,89532
MENDEZ,89532,303,0.036,303,89532
BUSH,89532,304,0.036,304,89532
VAUGHN,89532,305,0.036,305,89532
PARKS,87045,306,0.035,306,87045
DAWSON,87045,307,0.035,307,87045
SANTIAGO,87045,308,0.035,308,87045
NORRIS,87045,309,0.035,309,87045
HARDY,87045,310,0.035,310,87045
LOVE,87045,311,0.035,311,87045
STEELE,87045,312,0.035,312,87045
CURRY,87045,313,0.035,313,87045
POWERS,87045,314,0.035,314,87045
SCHULTZ,87045,315,0.035,315,87045
BARKER,87045,316,0.035,316,87045
GUZMAN,84558,317,0.034,317,84558
PAGE,84558,318,0.034,318,84558
MUNOZ,84558,319,0.034,319,84558
BALL,84558,320,0.034,320,84558
KELLER,84558,321,0.034,321,84558
CHANDLER,84558,322,0.034,322,84558
WEBER,84558,323,0.034,323,84558
LEONARD,84558,324,0.034,324,84558
WALSH,82071,325,0.033,325,82071
LYONS,82071,326,0.033,326,82071
RAMSEY,82071,327,0.033,327,82071
WOLFE,82071,328,0.033,328,82071
SCHNEIDER,82071,329,0.033,329,82071
MULLINS,82071,330,0.033,330,82071
BENSON,82071,331,0.033,331,82071
SHARP,82071,332,0.033,332,82071
BOWEN,82071,333,0.033,333,82071
DANIEL,82071,334,0.033,334,82071
BARBER,79584,335,0.032,335,79584
CUMMINGS,79584,336,0.032,336,79584
HINES,79584,337,0.032,337,79584
BALDWIN,79584,338,0.032,338,79584
GRIFFITH,79584,339,0.032,339,79584
VALDEZ,79584,340,0.032,340,79584
HUBBARD,79584,341,0.032,341,79584
SALAZAR,79584,342,0.032,342,79584
REEVES,79584,343,0.032,343,79584
WARNER,77097,344,0.031,344,77097
STEVENSON,77097,345,0.031,345,77097
