Name,Count,Rank,Percent,Overall_Rank,Total_Count
SMITH,1742947,1,73.3,1,2376206
JOHNSON,1143082,2,61.6,2,1857160
MILLER,967768,3,85.8,6,1127803
BROWN,837886,4,60.7,4,1380145
JONES,786173,5,57.7,5,1362755
WILLIAMS,744317,6,48.5,3,1534042
DAVIS,694122,7,64.7,7,1072335
ANDERSON,591618,8,77.6,12,762394
WILSON,545943,9,69.7,10,783051
MARTIN,521149,10,77.5,17,672711
TAYLOR,488411,11,67.8,13,720370
MOORE,481035,12,68.9,16,698671
THOMPSON,467038,13,72.5,19,644368
WHITE,434295,14,67.9,20,639515
CLARK,421367,15,76.8,25,548369
THOMAS,394649,16,55.5,14,710696
HALL,355697,17,75.1,30,473568
BAKER,339279,18,82.1,38,413351
NELSON,330984,19,80.3,40,412236
ALLEN,325470,20,70.2,32,463368
YOUNG,321085,21,68.9,31,465948
HARRIS,319800,22,53.9,24,593542
KING,319582,23,72.8,35,438986
ADAMS,314648,24,76.2,39,413086
LEWIS,310904,25,61,26,509930
WALKER,307051,26,61.3,28,501307
WRIGHT,300771,27,68.3,34,440367
ROBERTS,291361,28,79.6,45,366215
CAMPBELL,284432,29,76.5,43,371953
JACKSON,279306,30,41.9,18,666125
PHILLIPS,277784,31,79,47,351848
HILL,275186,32,66.8,41,411770
SCOTT,262977,33,62.6,36,420091
ROBINSON,258255,34,51.3,27,503028
MURPHY,255576,35,85,58,300501
COOK,246213,36,83.5,60,294795
GREEN,245316,37,59.3,37,413477
LEE,242889,38,40.1,22,605860
EVANS,241790,39,70.6,48,342237
PETERSON,237333,40,86.3,63,275041
MORRIS,236684,41,75.9,56,311754
COLLINS,234953,42,73.9,52,317848
MITCHELL,233504,43,63.6,44,367433
PARKER,231803,44,71.5,51,324246
ROGERS,229046,45,77.8,61,294403
STEWART,224599,46,71.8,54,312899
TURNER,223787,47,66.7,49,335663
WOOD,222717,48,90.1,75,247299
CARTER,219378,49,60.5,46,362548
MORGAN,216891,50,78.5,62,276400
COX,214386,51,84.5,72,253771
KELLY,209324,52,80.4,69,260385
EDWARDS,206603,53,65.2,53,317070
BAILEY,198825,54,74.8,66,265916
WARD,197681,55,77.8,71,254121
REED,196597,56,73.5,65,267443
MYERS,194675,57,86.6,85,224824
SULLIVAN,192890,58,89.5,92,215640
COOPER,190040,59,70.4,64,270097
BENNETT,188853,60,79,78,239055
HUGHES,184888,61,80.6,83,229390
LONG,184047,62,82.3,86,223494
FISHER,177875,63,84.6,100,210279
PRICE,174106,64,76.1,84,228756
RUSSELL,171161,65,79.5,93,215432
HOWARD,170269,66,66.8,70,254779
GRAY,168374,67,71.1,79,236713
BELL,168303,68,63.6,67,264752
WATSON,166260,69,68.6,76,242432
REYNOLDS,162894,70,83.3,106,195598
FOSTER,159149,71,72,87,221040
ROSS,157184,72,71.5,89,219961
OLSON,157011,73,96,136,163502
RICHARDSON,155334,74,62.2,74,249533
SNYDER,151984,75,95.4,144,159363
POWELL,151500,76,70,91,216553
STEVENS,151302,77,83.4,122,181417
BROOKS,150999,78,62.7,77,240751
PERRY,150361,79,70.7,97,212644
