AGE,BOTH,MALE,FEMALE
0,20201362,10319427,9881935
5,20348657,10389638,9959019
10,20677194,10579862,10097332
15,22040343,11303666,10736677
20,21585999,11014176,10571823
25,21101849,10635591,10466258
30,19962099,9996500,9965599
35,20179642,10042022,10137620
40,20890964,10393977,10496987
45,22708591,11209085,11499506
50,22298125,10933274,11364851
55,19664805,9523648,10141157
60,16817924,8077500,8740424
65,12435263,5852547,6582716
70,9278166,4243972,5034194
75,7317795,3182388,4135407
80,5743327,2294374,3448953
85,3620459,1273867,2346592
90,1448366,424387,1023979
95,371244,82263,288981
100,53364,9162,44202
