Year,Female Name Count,Male Name Count, Female SSNs Issued, Male SSNs Issued
1880,942,1058,90994,110490
1881,938,996,91953,100738
1882,1028,1099,107847,113686
1883,1054,1030,112319,104625
1884,1172,1125,129019,114442
1885,1197,1097,133055,107799
1886,1282,1110,144533,110784
1887,1306,1067,145982,101411
1888,1474,1177,178622,120851
1889,1479,1111,178366,110580
1890,1534,1161,190377,111024
1891,1533,1127,185480,101191
1892,1661,1260,212339,122035
1893,1652,1179,212905,112319
1894,1702,1239,222922,115769
1895,1808,1241,233627,117395
1896,1825,1266,237918,119566
1897,1799,1229,234200,112757
1898,1975,1289,258770,122686
1899,1842,1200,233022,106210
1900,2224,1506,299794,150478
1901,1943,1210,239345,106468
1902,2042,1320,264075,122658
1903,2083,1306,261970,119231
1904,2165,1395,275362,128125
1905,2234,1421,291619,132308
1906,2220,1413,295300,133155
1907,2399,1549,318566,146827
1908,2434,1584,334314,154338
1909,2548,1679,347230,163997
1910,2790,1839,396505,194210
1911,2868,1999,418309,225970
1912,3445,2906,558120,429946
1913,3707,3261,624547,512565
1914,4206,3759,761582,654765
1915,4967,4390,983860,848582
1916,5162,4535,1044342,890093
1917,5311,4602,1081273,925490
1918,5585,4813,1157637,1013488
1919,5559,4810,1130131,980145
1920,5767,4989,1198294,1064372
1921,5870,4985,1233061,1101458
1922,5789,4966,1200998,1088178
1923,5739,4904,1206389,1096127
1924,5900,4971,1248892,1132788
1925,5771,4867,1217405,1115942
1926,5622,4837,1185404,1110528
1927,5602,4804,1192415,1126954
1928,5438,4723,1153318,1107654
1929,5276,4546,1116552,1075628
1930,5248,4544,1125950,1097400
1931,4978,4320,1064707,1039634
1932,5098,4283,1067123,1044133
1933,4858,4154,1007891,991436
1934,4974,4206,1044195,1032496
1935,4893,4145,1048539,1041257
1936,4856,4037,1040354,1037156
1937,4928,4019,1063991,1066573
1938,4995,4036,1103426,1109100
1939,4951,3967,1096611,1106782
1940,5025,3936,1143447,1159082
1941,5085,4001,1208065,1228203
1942,5380,4044,1350680,1380994
1943,5367,4041,1395243,1427186
1944,5244,3908,1327189,1362787
1945,5241,3784,1307051,1345736
1946,5685,4019,1571260,1623910
1947,6103,4268,1772713,1829483
1948,6041,4200,1697839,1754556
1949,6067,4203,1710872,1773828
1950,6110,4195,1713063,1790453
1951,6212,4253,1800874,1882886
1952,6389,4257,1854334,1943768
1953,6497,4340,1881306,1972323
1954,6625,4360,1942035,2039025
1955,6727,4397,1955320,2060116
1956,6886,4453,2007616,2114425
1957,7014,4553,2044573,2156403
1958,7024,4505,2011274,2121401
1959,7194,4570,2022957,2133097
1960,7331,4595,2022012,2132115
1961,7528,4654,2017759,2122870
1962,7586,4626,1966595,2068684
1963,7664,4621,1927364,2031393
1964,7805,4594,1894855,1992997
1965,7533,4421,1765096,1860779
1966,7619,4537,1692022,1783667
1967,7850,4552,1650959,1744226
1968,8195,4743,1640276,1738539
1969,8709,5043,1687012,1789028
1970,9349,5430,1748163,1859089
1971,9643,5654,1663675,1769002
1972,9663,5753,1521195,1622405
1973,9808,5877,1458221,1559201
1974,10243,6006,1467470,1572974
1975,10613,6336,1457887,1562157
1976,10904,6493,1465158,1569802
1977,11326,6855,1533168,1643821
1978,11473,6761,1531868,1642630
1979,11971,7071,1605342,1722312
1980,12162,7295,1660388,1784673
1981,12190,7291,1667987,1791772
1982,12331,7369,1693322,1815040
1983,12068,7340,1670560,1792967
1984,12176,7334,1683662,1805024
1985,12502,7585,1720695,1848203
1986,12831,7827,1715380,1841409
1987,13260,8150,1738472,1866773
1988,13878,8491,1780572,1913830
1989,14547,9228,1843445,2000711
1990,15232,9485,1898296,2053492
1991,15466,9648,1874814,2019990
1992,15611,9817,1843688,1996990
1993,15797,10168,1808821,1960907
1994,15753,10244,1785473,1931647
1995,15753,10327,1758338,1903330
1996,15892,10532,1752740,1893956
1997,16160,10811,1740454,1884872
1998,16599,11307,1766656,1911083
1999,16944,11611,1773495,1919812
2000,17658,12119,1815542,1963465
2001,17975,12303,1800081,1942320
2002,18083,12485,1796311,1940884
2003,18434,12756,1826525,1974622
2004,18829,13222,1835493,1984098
2005,19187,13367,1846945,1996377
2006,20056,14040,1900190,2054166
2007,20571,14393,1921491,2074249
2008,20466,14618,1889593,2038796
2009,20186,14529,1835649,1982082
2010,19820,14265,1775986,1917177
2011,19573,14346,1757338,1897353
2012,19518,14243,1759044,1894935
2013,19254,14050,1752384,1889220
2014,19209,14060,1783719,1918065
2015,19103,14042,1782079,1913452
2016,18847,14184,1768360,1893917
2017,18404,14230,1722140,1846154
2018,18105,14073,1695654,1810309
2019,17948,14082,1670419,1785527
2020,17360,13911,1598836,1706423
